Field,Type,Null,Key,Default,Extra
id,int,NO,PRI,NULL,auto_increment
order_number,varchar(50),NO,UNI,NULL,
customer_name,varchar(100),NO,,NULL,
customer_email,varchar(100),YES,,NULL,
customer_phone,varchar(20),YES,,NULL,
customer_address,text,YES,,NULL,
notes,text,YES,,NULL,
total_amount,"decimal(10,2)",NO,,NULL,
status,"enum('pending','processing','shipped','delivered','cancelled')",YES,,pending,
created_at,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED
updated_at,timestamp,YES,,CURRENT_TIMESTAMP,"DEFAULT_GENERATED on update CURRENT_TIMESTAMP"
