Field,Type,Null,Key,Default,Extra
id,int,NO,PRI,NULL,auto_increment
order_reference,varchar(50),YES,,NULL,
supplier_name,varchar(100),YES,,NULL,
supplier_category,varchar(50),YES,,NULL,
priority,varchar(20),YES,,NULL,
delivery_terminal,varchar(50),YES,,NULL,
warehouse_name,varchar(100),YES,,NULL,
warehouse_id,int,YES,MUL,NULL,
subtotal,"decimal(12,2)",YES,,NULL,
priority_fee,"decimal(12,2)",YES,,NULL,
terminal_fee,"decimal(12,2)",YES,,NULL,
total_amount,"decimal(12,2)",YES,,NULL,
lead_time_min,int,YES,,NULL,
lead_time_max,int,YES,,NULL,
items_count,int,YES,,NULL,
order_date,datetime,YES,,NULL,
status,"enum('pending','delivered','archived','cancelled')",YES,,NULL,
created_at,timestamp,YES,,NULL,
